date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:04	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2001%20Jun%202024%2003:04:58%20GMT	http://10.62.200.79:8081/robots.txt		(from )
11:05:04	23669/23669	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:04:58%20GMT	http://10.62.200.79:8081/home/index/index	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/index/index.html	(from )
11:05:04	22062/22062	---M--	200	added ('OK')	text/css	date:Sat,%2011%20Apr%202020%2006:46:16%20GMT	http://10.62.200.79:8081/home/css/index.css	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/css/index.css	(from http://10.62.200.79:8081/home/index/index)
11:05:05	1022/1022	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:04:59%20GMT	http://10.62.200.79:8081/photo/view?filename=20210307/1615096736988.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view1680.html	(from http://10.62.200.79:8081/home/index/index)
11:05:05	560/560	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:04:59%20GMT	http://10.62.200.79:8081/photo/view?filename=20200418/1587201663687.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view15e3.html	(from http://10.62.200.79:8081/home/index/index)
11:05:05	277/277	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Apr%202020%2011:25:42%20GMT	http://10.62.200.79:8081/home/imgs/search-icon.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/imgs/search-icon.png	(from http://10.62.200.79:8081/home/index/index)
11:05:06	4872/4872	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:04:59%20GMT	http://10.62.200.79:8081/home/index/login	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/index/login.html	(from http://10.62.200.79:8081/home/index/index)
11:05:06	680/680	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Apr%202020%2011:25:42%20GMT	http://10.62.200.79:8081/home/imgs/12.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/imgs/12.png	(from http://10.62.200.79:8081/home/index/index)
11:05:06	369/369	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:01%20GMT	http://10.62.200.79:8081/photo/view?filename=20200402/1585834512163.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewd52f.html	(from http://10.62.200.79:8081/home/index/index)
11:05:06	394/394	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:01%20GMT	http://10.62.200.79:8081/photo/view?filename=20200402/1585834662625.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view9200.html	(from http://10.62.200.79:8081/home/index/index)
11:05:07	636/636	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:01%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586084764264.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewb85e.html	(from http://10.62.200.79:8081/home/index/index)
11:05:07	710/710	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:02%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085005899.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewd063.html	(from http://10.62.200.79:8081/home/index/index)
11:05:07	1039/1039	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:02%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085102042.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view026f.html	(from http://10.62.200.79:8081/home/index/index)
11:05:07	667/667	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:02%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085217886.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view9d77.html	(from http://10.62.200.79:8081/home/index/index)
11:05:08	555/555	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:02%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085388834.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewb073.html	(from http://10.62.200.79:8081/home/index/index)
11:05:08	458/458	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:03%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085499095.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view4128.html	(from http://10.62.200.79:8081/home/index/index)
11:05:08	1053/1053	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:03%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085585909.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view36d8.html	(from http://10.62.200.79:8081/home/index/index)
11:05:08	620/620	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:03%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085681117.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewc329.html	(from http://10.62.200.79:8081/home/index/index)
11:05:09	680/680	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:03%20GMT	http://10.62.200.79:8081/photo/view?filename=20200405/1586085739125.png	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewc27f.html	(from http://10.62.200.79:8081/home/index/index)
11:05:09	13578/13578	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:04%20GMT	http://10.62.200.79:8081/home/index/news_detail?id=2	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/index/news_detail0b30.html	(from http://10.62.200.79:8081/home/index/index)
11:05:09	13443/13443	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:04%20GMT	http://10.62.200.79:8081/home/index/news_detail?id=3	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/index/news_detaild708.html	(from http://10.62.200.79:8081/home/index/index)
11:05:10	48130/48130	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:04%20GMT	http://10.62.200.79:8081/photo/view?filename=20210224/1614130816620.jpg	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view17d6.html	(from http://10.62.200.79:8081/home/index/index)
11:05:11	13480/13480	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:04%20GMT	http://10.62.200.79:8081/home/index/news_detail?id=1	E:/web/MyWebsites/newWeb/10.62.200.79_8081/home/index/news_detail681a.html	(from http://10.62.200.79:8081/home/index/index)
11:05:11	33213/33213	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:05%20GMT	http://10.62.200.79:8081/photo/view?filename=20210224/1614130428350.jpg	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view7dc1.html	(from http://10.62.200.79:8081/home/index/index)
11:05:13	351887/351887	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:06%20GMT	http://10.62.200.79:8081/photo/view?filename=20200412/1586621219617.jpg	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/view3364.html	(from http://10.62.200.79:8081/home/index/index)
11:05:16	15555/15555	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2003:05:08%20GMT	http://10.62.200.79:8081/photo/view?filename=20200412/1586620999408.jpg	E:/web/MyWebsites/newWeb/10.62.200.79_8081/photo/viewb535.html	(from http://10.62.200.79:8081/home/index/index)
