date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2001%20Jun%202024%2002:16:56%20GMT	http://10.62.200.79:8081/system/index	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/system/index.0.delayed	(from )
10:17:01	4887/4887	---MC-	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2002:16:56%20GMT	http://10.62.200.79:8081/system/login	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/system/login.html	(from )
10:17:01	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2001%20Jun%202024%2002:16:56%20GMT	http://10.62.200.79:8081/robots.txt		(from )
10:17:02	109045/109045	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/css/bootstrap.min.css	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/css/bootstrap.min.css	(from http://10.62.200.79:8081/system/login)
10:17:04	86843/86843	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/css/materialdesignicons.min.css	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/css/materialdesignicons.min.css	(from http://10.62.200.79:8081/system/login)
10:17:06	107378/107378	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/css/style.min.css	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/css/style.min.css	(from http://10.62.200.79:8081/system/login)
10:17:08	22521/22521	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/js/jconfirm/jquery-confirm.min.css	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/js/jconfirm/jquery-confirm.min.css	(from http://10.62.200.79:8081/system/login)
10:17:09	6359/6359	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Feb%202021%2013:39:32%20GMT	http://10.62.200.79:8081/admin/images/logo-sidebar.png	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/images/logo-sidebar.png	(from http://10.62.200.79:8081/system/login)
10:17:11	3248/3248	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Apr%202020%2008:49:42%20GMT	http://10.62.200.79:8081/admin/js/common.js	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/js/common.js	(from http://10.62.200.79:8081/system/login)
10:17:13	28227/28227	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/js/jconfirm/jquery-confirm.min.js	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/js/jconfirm/jquery-confirm.min.js	(from http://10.62.200.79:8081/system/login)
10:17:14	37045/37045	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/js/bootstrap.min.js	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/js/bootstrap.min.js	(from http://10.62.200.79:8081/system/login)
10:17:15	84344/84344	---M--	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:49:04%20GMT	http://10.62.200.79:8081/admin/js/jquery.min.js	E:/web/MyWebsites/cloneweb/10.62.200.79_8081/admin/js/jquery.min.js	(from http://10.62.200.79:8081/system/login)
